,location_set_version_id,location_set_id,location_id,parent_id,path_to_top_parent,level,is_estimate,most_detailed,sort_order,location_name,location_ascii_name,location_name_short,location_name_medium,location_type_id,location_type,map_id,super_region_id,super_region_name,region_id,region_name,ihme_loc_id,local_id,developed,start_date,end_date,date_inserted,last_updated,last_updated_by,last_updated_action,lancet_label,who_label
52,771,111,43865,101,"1,64,100,101,43865",4,0,1,53.000000,Nunavut,Nunavut,Nunavut,Nunavut,3,admin1,,64.0,High-income,100.0,High-income North America,CAN_43865,,,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,,
53,771,111,43866,101,"1,64,100,101,43866",4,0,1,54.000000,Ontario,Ontario,Ontario,Ontario,3,admin1,,64.0,High-income,100.0,High-income North America,CAN_43866,,,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,,
54,771,111,43867,101,"1,64,100,101,43867",4,0,1,55.000000,Prince Edward Island,Prince Edward Island,Prince Edward,Prince Edward Island,3,admin1,,64.0,High-income,100.0,High-income North America,CAN_43867,,,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,,
55,771,111,43868,101,"1,64,100,101,43868",4,0,1,56.000000,Quebec,Quebec,Quebec,Quebec,3,admin1,,64.0,High-income,100.0,High-income North America,CAN_43868,,,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,,
56,771,111,43869,101,"1,64,100,101,43869",4,0,1,57.000000,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,3,admin1,,64.0,High-income,100.0,High-income North America,CAN_43869,,,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,,
57,771,111,43870,101,"1,64,100,101,43870",4,0,1,58.000000,Yukon,Yukon,Yukon,Yukon,3,admin1,,64.0,High-income,100.0,High-income North America,CAN_43870,,,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,,
58,771,111,349,100,"1,64,100,349",3,0,1,59.000000,Greenland,Greenland,Greenland,Greenland,8,nonsovereign,,64.0,High-income,100.0,High-income North America,GRL,GRL,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Greenland,Greenland
59,771,111,102,100,"1,64,100,102",3,0,0,60.000000,United States of America,United States of America,United States of America,United States of America,2,admin0,USA,64.0,High-income,100.0,High-income North America,USA,USA,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,USA,United States of America
60,771,111,523,102,"1,64,100,102,523",4,0,1,61.000000,Alabama,Alabama,Alabama,Alabama,3,admin1,,64.0,High-income,100.0,High-income North America,USA_523,US-AL,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Alabama,
61,771,111,524,102,"1,64,100,102,524",4,0,1,62.000000,Alaska,Alaska,Alaska,Alaska,3,admin1,,64.0,High-income,100.0,High-income North America,USA_524,US-AK,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Alaska,
62,771,111,525,102,"1,64,100,102,525",4,0,1,63.000000,Arizona,Arizona,Arizona,Arizona,3,admin1,,64.0,High-income,100.0,High-income North America,USA_525,US-AZ,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Arizona,
63,771,111,526,102,"1,64,100,102,526",4,0,1,64.000000,Arkansas,Arkansas,Arkansas,Arkansas,3,admin1,,64.0,High-income,100.0,High-income North America,USA_526,US-AR,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Arkansas,
64,771,111,527,102,"1,64,100,102,527",4,0,1,65.000000,California,California,California,California,3,admin1,,64.0,High-income,100.0,High-income North America,USA_527,US-CA,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,California,
65,771,111,528,102,"1,64,100,102,528",4,0,1,66.000000,Colorado,Colorado,Colorado,Colorado,3,admin1,,64.0,High-income,100.0,High-income North America,USA_528,US-CO,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Colorado,
66,771,111,529,102,"1,64,100,102,529",4,0,1,67.000000,Connecticut,Connecticut,Connecticut,Connecticut,3,admin1,,64.0,High-income,100.0,High-income North America,USA_529,US-CT,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Connecticut,
67,771,111,530,102,"1,64,100,102,530",4,0,1,68.000000,Delaware,Delaware,Delaware,Delaware,3,admin1,,64.0,High-income,100.0,High-income North America,USA_530,US-DE,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Delaware,
68,771,111,531,102,"1,64,100,102,531",4,0,1,69.000000,District of Columbia,District of Columbia,DC,District of Columbia,3,admin1,,64.0,High-income,100.0,High-income North America,USA_531,US-DC,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,"Washington, DC",
69,771,111,532,102,"1,64,100,102,532",4,0,1,70.000000,Florida,Florida,Florida,Florida,3,admin1,,64.0,High-income,100.0,High-income North America,USA_532,US-FL,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Florida,
70,771,111,533,102,"1,64,100,102,533",4,0,1,71.000000,Georgia,Georgia,Georgia,Georgia,3,admin1,,64.0,High-income,100.0,High-income North America,USA_533,US-GA,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Georgia,
71,771,111,534,102,"1,64,100,102,534",4,0,1,72.000000,Hawaii,Hawaii,Hawaii,Hawaii,3,admin1,,64.0,High-income,100.0,High-income North America,USA_534,US-HI,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Hawaii,
72,771,111,535,102,"1,64,100,102,535",4,0,1,73.000000,Idaho,Idaho,Idaho,Idaho,3,admin1,,64.0,High-income,100.0,High-income North America,USA_535,US-ID,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Idaho,
73,771,111,536,102,"1,64,100,102,536",4,0,1,74.000000,Illinois,Illinois,Illinois,Illinois,3,admin1,,64.0,High-income,100.0,High-income North America,USA_536,US-IL,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Illinois,
74,771,111,537,102,"1,64,100,102,537",4,0,1,75.000000,Indiana,Indiana,Indiana,Indiana,3,admin1,,64.0,High-income,100.0,High-income North America,USA_537,US-IN,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Indiana,
