location_id,alpha,beta,gamma,delta,omicron,ba5
4863,,,,3/15/21,12/12/21,5/25/22
4864,,,,3/1/21,12/14/21,6/1/22
4865,,,,3/1/21,12/9/21,5/25/22
4867,,,,1/15/21,12/1/21,5/10/22
4868,,,,2/15/21,12/9/21,5/25/22
4869,,,,3/1/21,12/14/21,6/10/22
4870,,,,2/15/21,12/7/21,5/17/22
4871,,,,2/1/21,12/7/21,5/17/22
4872,,,,3/1/21,12/10/21,6/10/22
4840,,,,3/1/21,12/9/21,5/25/22
4845,,,,2/15/21,12/11/21,5/25/22
60896,,,,2/15/21,12/11/21,5/25/22
4858,,,,3/15/21,12/20/21,5/25/22
4866,,,,3/1/21,12/15/21,5/25/22
4873,,,,2/15/21,12/10/21,5/11/22
4874,,,,2/15/21,12/9/21,5/25/22
4875,,,,2/15/21,11/29/21,5/10/22
164,,,,3/1/21,12/8/21,5/18/22
53615,12/15/20,,,5/15/21,12/18/21,5/18/22
53616,1/15/21,,,,12/18/21,5/18/22
53617,2/1/21,,,5/15/21,12/11/21,5/18/22
53618,1/1/21,,,6/1/21,12/2/21,5/10/22
53619,1/15/21,,,6/1/21,12/11/21,5/18/22
53620,1/1/21,,,6/1/21,11/29/21,5/18/22
53621,2/15/21,,,6/1/21,11/29/21,5/18/22
354,,,,,1/13/22,5/4/22
361,,,,,,5/18/22
491,,,,,2/12/22,5/25/22
492,,,,,12/16/21,5/25/22
493,,,,,1/28/22,5/25/22
494,,,,,2/12/22,5/25/22
495,,,,,2/4/22,5/25/22
496,,,,,12/31/21,5/25/22
497,,,,,1/4/22,5/25/22
498,,,,,2/8/22,5/25/22
499,,,,,2/28/22,5/25/22
500,,,,,2/5/22,5/25/22
501,,,,,12/25/21,5/25/22
502,,,,,11/30/21,5/25/22
503,,,,,2/4/22,5/25/22
504,,,,,2/14/22,5/25/22
505,,,,,1/15/22,5/25/22
506,,,,,1/11/22,5/25/22
507,,,,,2/14/22,5/25/22
508,,,,,2/8/22,5/25/22
509,,,,,1/9/22,5/25/22
510,,,,,2/4/22,5/25/22
511,,,,,2/28/22,5/25/22
512,,,,,11/19/21,5/25/22
513,,,,,2/1/22,5/25/22
514,,,,,2/22/22,5/25/22
515,,,,,3/4/22,5/25/22
516,,,,,1/18/22,5/25/22
517,,,,,11/23/21,5/25/22
518,,,,,,5/25/22
519,,,,,12/23/21,5/25/22
520,,,,5/15/21,1/11/22,5/25/22
521,,,,,2/4/22,5/25/22
8,,,,,11/30/21,7/1/22
7,,,,,,
298,,,,,,
320,,,,,,
22,,,,5/1/21,11/19/21,5/1/22
351,,,,7/1/21,11/30/21,5/1/22
23,,,,,12/18/21,
24,,,,,,
25,,,,,,
369,,,,,,
374,,,,,,
376,,,,,12/25/21,
380,,,,,12/8/21,
26,,,,8/1/21,12/25/21,7/1/22
27,,,,,12/18/21,
28,,,,,11/24/21,
413,,,,,,
29,,,,,1/4/22,
416,,,,,,
30,,,,,,
10,,,,7/15/21,1/6/22,5/1/22
11,,,,5/1/21,12/18/21,5/15/22
12,,,,7/1/21,2/10/22,6/1/22
13,,,,4/1/21,1/6/22,5/15/22
14,,,,3/15/21,12/4/21,5/1/22
183,,,,,,5/18/22
15,,,,5/15/21,1/6/22,5/15/22
16,1/15/21,,,6/1/21,10/29/21,5/1/22
186,,,,4/1/21,11/26/21,5/15/22
17,,,,6/15/21,12/1/21,5/15/22
18,,,,6/1/21,11/24/21,5/15/22
19,2/1/21,,,6/15/21,12/30/21,5/18/22
20,,,,6/1/21,1/6/22,6/1/22
168,2/15/21,,,6/1/21,11/12/21,5/1/22
169,1/15/21,,,,11/15/21,7/1/22
170,,,,8/15/21,11/15/21,5/1/22
171,,,,5/1/21,10/30/21,4/17/22
172,,,,7/15/21,11/26/21,5/15/22
173,12/15/20,,,7/1/21,11/19/21,5/4/22
175,,,,,11/7/21,6/3/22
176,,,,,11/12/21,6/3/22
177,,1/1/21,,,11/17/21,6/1/22
178,,4/15/21,,,12/4/21,6/3/22
179,,1/1/21,,6/15/21,11/12/21,4/17/22
180,,1/1/21,,5/15/21,11/12/21,4/17/22
181,,1/15/21,,,11/1/21,4/15/22
182,,10/15/20,,5/1/21,11/10/21,5/4/22
184,,11/1/20,,5/1/21,11/5/21,4/15/22
185,,11/1/20,,4/15/21,11/10/21,5/4/22
187,,12/15/20,,5/15/21,11/12/21,4/17/22
435,,12/15/20,,,11/15/21,4/24/22
190,,,,4/1/21,11/16/21,4/24/22
189,,,,,11/14/21,4/24/22
191,,11/1/20,,4/1/21,11/10/21,4/24/22
193,,11/1/20,,4/1/21,11/6/21,4/9/22
197,,10/15/20,,5/15/21,10/30/21,3/18/22
194,,10/15/20,,5/15/21,11/1/21,3/18/22
195,,10/1/20,,4/1/21,10/31/21,4/3/22
196,,9/15/20,,4/1/21,10/18/21,3/18/22
198,,10/15/20,,5/1/21,10/28/21,4/3/22
